FM;Tenants;Prefrences per tenant;Round;Current tenants;Time;F(Ct-1);F(Ct);
WindowsDaaS;6;5;4;3;7317;7996.952380952379;12170.971428571429;
WindowsDaaS;6;5;5;4;7833;4536729.6;4376780.8;
WindowsDaaS;6;5;6;3;7332;9661.68;9661.68;
WindowsDaaS;6;5;7;4;7333;NaN;NaN;
WindowsDaaS;6;5;8;5;7864;NaN;NaN;
WindowsDaaS;6;5;9;4;7396;6930934.467187501;1.2491221359375E7;
WindowsDaaS;6;5;10;3;6709;NaN;NaN;
WindowsDaaS;6;5;11;4;7489;0.0;0.0;
WindowsDaaS;6;5;12;5;7832;0.0;0.0;
WindowsDaaS;6;5;13;4;7708;0.0;0.0;
WindowsDaaS;6;5;14;5;7817;NaN;NaN;
WindowsDaaS;6;5;15;6;8315;NaN;NaN;
WindowsDaaS;6;5;16;5;7474;NaN;NaN;
WindowsDaaS;6;5;17;4;6865;1411344.0;1411344.0;
WindowsDaaS;6;5;18;5;7583;5.8236862464E8;1.9412287487999997E9;
WindowsDaaS;6;5;19;4;6786;NaN;NaN;
WindowsDaaS;6;5;20;3;6756;37665.00000000001;37665.00000000001;
WindowsDaaS;6;5;21;4;6958;NaN;NaN;
WindowsDaaS;6;5;22;5;7489;4.3581439999999985E7;7.491857066666666E7;
WindowsDaaS;6;5;23;4;7162;6566400.0;6566400.0;
WindowsDaaS;6;5;24;5;7692;8.035282944000001E8;8.035282944000001E8;
WindowsDaaS;6;6;0;7;8986;2.2957823195999995E8;5.3009198549999994E8;
WindowsDaaS;6;6;1;8;9626;4.966799957097103E10;2.750843053161472E10;
WindowsDaaS;6;6;2;9;9595;8.558178387613466E11;1.0155114522249928E12;
WindowsDaaS;6;6;3;8;9454;0.0;4.8088048341666675E8;
WindowsDaaS;6;6;4;7;9034;0.0;0.0;
WindowsDaaS;6;6;5;6;8799;0.0;6848512.0;
WindowsDaaS;6;6;6;5;8269;34281.225000000006;48973.17857142858;
WindowsDaaS;6;6;7;4;7879;5441.464285714286;3952.221428571428;
WindowsDaaS;6;6;8;3;7473;323.4;538.9999999999999;
WindowsDaaS;6;6;9;4;7816;164266.66666666663;704000.0;
WindowsDaaS;6;6;10;3;7426;33472.16517857143;57362.10267857143;
WindowsDaaS;6;6;11;4;7817;7500792.857142857;1.916869285714286E7;
WindowsDaaS;6;6;12;5;8222;3.3285052416E9;3.3285052416E9;
WindowsDaaS;6;6;13;4;7645;2.4237374699999996E7;3.2893579949999996E7;
WindowsDaaS;6;6;14;3;7395;188784.0;228528.0;
WindowsDaaS;6;6;15;4;7972;7.0386624E7;7.0386624E7;
WindowsDaaS;6;6;16;3;7396;297528.0;297528.0;
WindowsDaaS;6;6;17;4;7832;9.4183155E7;9.4183155E7;
WindowsDaaS;6;6;18;3;7146;65422.222222222226;78506.66666666666;
WindowsDaaS;6;6;19;4;7848;1.9861333333333336E7;1.9861333333333336E7;
WindowsDaaS;6;6;20;5;7972;9.225216E9;1.669248E10;
WindowsDaaS;6;6;21;6;8488;1.1864752475625E12;8.181866345625E11;
WindowsDaaS;6;6;22;5;7864;1.0270900224000001E9;2.0146765823999999E9;
WindowsDaaS;6;6;23;4;7442;2.5183457279999998E8;2.5261424639999998E8;
WindowsDaaS;6;6;24;3;6678;803250.0;892500.0;
WindowsDaaS;6;7;0;5;8221;4.835376E9;4.6884096E9;
WindowsDaaS;6;7;1;4;7770;8.1477396E7;1.1477465999999999E8;
WindowsDaaS;6;7;2;3;7255;562933.7999999999;562933.7999999999;
WindowsDaaS;6;7;3;4;7520;8.070657395625E8;8.070657395625E8;
WindowsDaaS;6;7;4;5;8113;9.915199151785713E10;2.5438210285714285E11;
WindowsDaaS;6;7;5;4;7692;1.2571552512E9;1.8660898260000005E9;
WindowsDaaS;6;7;6;5;8176;1.5775855117425003E11;1.66482042012E11;
WindowsDaaS;6;7;7;4;7785;6.712985565000001E8;6.397678667249999E8;
WindowsDaaS;6;7;8;3;7255;1967069.8666666667;2421009.0666666664;
WindowsDaaS;6;7;9;4;7645;1.1162040685714288E9;1.744068857142857E9;
WindowsDaaS;6;7;10;3;7224;2329425.0;2329425.0;
WindowsDaaS;6;7;11;4;7738;1.8944E8;3.62304E8;
WindowsDaaS;6;7;12;3;6740;219780.0;287712.0;
WindowsDaaS;6;7;13;4;7801;3.3236700000000004E7;5.089369687500001E7;
WindowsDaaS;6;7;14;3;7504;1352733.046875;2463906.62109375;
WindowsDaaS;6;7;15;4;7816;3.0689171567578125E8;4.05623037421875E8;
WindowsDaaS;6;7;16;5;8159;2.028115187109375E10;1.675980901875E10;
WindowsDaaS;6;7;17;4;7770;1.841029166666667E8;4.241466796875E8;
WindowsDaaS;6;7;18;5;8144;2.270268E10;2.167074E10;
WindowsDaaS;6;7;19;6;8706;2.18609664E12;1.931600782222222E12;
WindowsDaaS;6;7;20;7;8940;9.652485051733334E12;9.000757930666666E12;
WindowsDaaS;6;7;21;6;8769;8.115293870357145E11;9.988053994285717E11;
WindowsDaaS;6;7;22;5;8082;3.3424194375E8;5.6601234421875E8;
WindowsDaaS;6;7;23;4;7957;1.5476175E8;1.504628125E8;
WindowsDaaS;6;7;24;5;8129;2.4620133637124996E10;3.6937605715794655E10;
WindowsDaaS;6;8;0;5;8143;7.1263707428571415E9;1.5028400886297379E10;
WindowsDaaS;6;8;1;6;8565;3.491041865142858E12;4.2557462736979585E12;
WindowsDaaS;6;8;2;7;9002;3.580794624E13;3.1010364E13;
WindowsDaaS;7;3;0;6;7160;6.3334656E9;4.27508928E10;
WindowsDaaS;7;3;1;7;7318;2.50580561E12;3.5498912808333335E12;
WindowsDaaS;7;3;2;6;7301;1.6093664177062498E10;1.7243211618281246E10;
